Nos.,order_id,Item,Price,City,Quantity,Bill Amount,State of Delivery,Year
967,82,Product 496,194,Hubli,8,1552,West Bengal,2015
968,82,Product 135,214,Hubli,1,214,West Bengal,2015
969,82,Product 232,242,Hubli,7,1694,West Bengal,2015
970,82,Product 320,283,Hubli,8,2264,West Bengal,2015
971,82,Product 485,271,Hubli,6,1626,West Bengal,2015
972,82,Product 181,180,Hubli,4,720,West Bengal,2015
973,83,Product 498,56,Khed,6,336,Maharashtra,2015
974,83,Product 400,248,Khed,2,496,Maharashtra,2015
975,83,Product 118,83,Khed,1,83,Maharashtra,2015
976,83,Product 365,289,Khed,5,1445,Maharashtra,2015
977,83,Product 206,85,Khed,3,255,Maharashtra,2015
978,83,Product 470,167,Khed,8,1336,Maharashtra,2015
979,83,Product 51,136,Khed,2,272,Maharashtra,2015
980,83,Product 433,191,Khed,5,955,Maharashtra,2015
981,83,Product 307,202,Khed,5,1010,Maharashtra,2015
982,83,Product 490,224,Khed,5,1120,Maharashtra,2015
983,83,Product 14,256,Khed,2,512,Maharashtra,2015
984,83,Product 317,178,Khed,7,1246,Maharashtra,2015
985,83,Product 277,200,Khed,5,1000,Maharashtra,2015
986,83,Product 86,274,Khed,4,1096,Maharashtra,2015
987,83,Product 236,65,Khed,3,195,Maharashtra,2015
988,83,Product 500,251,Khed,2,502,Maharashtra,2015
989,84,Product 485,271,Udipi,1,271,Kerela,2015
990,84,Product 239,170,Udipi,3,510,Kerela,2015
991,84,Product 383,188,Udipi,3,564,Kerela,2015
992,84,Product 272,271,Udipi,4,1084,Kerela,2015
993,84,Product 12,68,Udipi,4,272,Kerela,2015
994,84,Product 185,292,Udipi,5,1460,Kerela,2015
995,84,Product 250,150,Udipi,7,1050,Kerela,2015
996,84,Product 253,98,Udipi,1,98,Kerela,2015
997,84,Product 492,243,Udipi,4,972,Kerela,2015
998,84,Product 9,299,Udipi,2,598,Kerela,2015
999,84,Product 173,123,Udipi,1,123,Kerela,2015
1000,84,Product 242,206,Udipi,5,1030,Kerela,2015
1001,85,Product 393,206,Trivandrum,8,1648,Kerela,2015
1002,85,Product 275,52,Trivandrum,10,520,Kerela,2015
1003,85,Product 296,218,Trivandrum,5,1090,Kerela,2015
1004,85,Product 454,267,Trivandrum,4,1068,Kerela,2015
1005,85,Product 278,251,Trivandrum,1,251,Kerela,2015
1006,85,Product 432,120,Trivandrum,7,840,Kerela,2015
1007,85,Product 287,114,Trivandrum,6,684,Kerela,2015
1008,85,Product 352,228,Trivandrum,9,2052,Kerela,2015
1009,85,Product 96,296,Trivandrum,8,2368,Kerela,2015
1010,85,Product 471,198,Trivandrum,10,1980,Kerela,2015
1011,85,Product 36,214,Trivandrum,3,642,Kerela,2015
1012,85,Product 173,123,Trivandrum,4,492,Kerela,2015
1013,86,Product 305,277,Jabalpur,2,554,Chattisgarh,2015
1014,86,Product 422,185,Jabalpur,1,185,Chattisgarh,2015
1015,86,Product 377,119,Jabalpur,10,1190,Chattisgarh,2015
1016,86,Product 195,256,Jabalpur,1,256,Chattisgarh,2015
1017,86,Product 486,105,Jabalpur,9,945,Chattisgarh,2015
1018,86,Product 355,80,Jabalpur,2,160,Chattisgarh,2015
1019,86,Product 142,195,Jabalpur,7,1365,Chattisgarh,2015
1020,86,Product 245,199,Jabalpur,2,398,Chattisgarh,2015
1021,86,Product 93,174,Jabalpur,9,1566,Chattisgarh,2015
1022,86,Product 164,122,Jabalpur,8,976,Chattisgarh,2015
1023,87,Product 402,148,Nasikroad,2,296,Maharashtra,2015
1024,87,Product 466,180,Nasikroad,4,720,Maharashtra,2015
1025,87,Product 130,238,Nasikroad,10,2380,Maharashtra,2015
1026,87,Product 403,249,Nasikroad,7,1743,Maharashtra,2015
1027,87,Product 348,280,Nasikroad,3,840,Maharashtra,2015
1028,87,Product 260,190,Nasikroad,2,380,Maharashtra,2015
1029,87,Product 369,218,Nasikroad,5,1090,Maharashtra,2015
1030,87,Product 467,211,Nasikroad,1,211,Maharashtra,2015
1031,87,Product 393,206,Nasikroad,7,1442,Maharashtra,2015
1032,87,Product 419,233,Nasikroad,10,2330,Maharashtra,2015
1033,87,Product 485,271,Nasikroad,1,271,Maharashtra,2015
1034,87,Product 382,103,Nasikroad,7,721,Maharashtra,2015
1035,88,Product 473,236,palakkad,10,2360,Maharashtra,2015
1036,88,Product 154,145,palakkad,5,725,Maharashtra,2015
1037,88,Product 140,204,palakkad,9,1836,Maharashtra,2015
1038,88,Product 431,256,palakkad,7,1792,Maharashtra,2015
1039,88,Product 201,150,palakkad,5,750,Maharashtra,2015
1040,88,Product 83,90,palakkad,5,450,Maharashtra,2015
1041,88,Product 203,289,palakkad,2,578,Maharashtra,2015
1042,88,Product 318,243,palakkad,1,243,Maharashtra,2015
1043,88,Product 341,294,palakkad,2,588,Maharashtra,2015
1044,88,Product 351,261,palakkad,5,1305,Maharashtra,2015
1045,89,Product 402,148,Chintanmani,7,1036,Maharashtra,2015
1046,89,Product 284,75,Chintanmani,5,375,Maharashtra,2015
1047,89,Product 477,71,Chintanmani,6,426,Maharashtra,2015
1048,89,Product 289,255,Chintanmani,2,510,Maharashtra,2015
1049,89,Product 236,65,Chintanmani,7,455,Maharashtra,2015
1050,89,Product 367,103,Chintanmani,3,309,Maharashtra,2015
1051,90,Product 47,290,Raichur,1,290,Karnataka,2015
1052,90,Product 225,210,Raichur,5,1050,Karnataka,2015
1053,90,Product 477,71,Raichur,6,426,Karnataka,2015
1054,90,Product 422,185,Raichur,9,1665,Karnataka,2015
1055,90,Product 358,63,Raichur,6,378,Karnataka,2015
1056,90,Product 141,186,Raichur,3,558,Karnataka,2015
1057,90,Product 154,145,Raichur,10,1450,Karnataka,2015
1058,90,Product 67,55,Raichur,10,550,Karnataka,2015
1059,90,Product 251,210,Raichur,10,2100,Karnataka,2015
1060,90,Product 21,298,Raichur,4,1192,Karnataka,2015
1061,90,Product 173,123,Raichur,7,861,Karnataka,2015
1062,90,Product 261,121,Raichur,8,968,Karnataka,2015
1063,91,Product 378,98,Hospet,6,588,Karnataka,2015
1064,91,Product 11,94,Hospet,4,376,Karnataka,2015
1065,91,Product 473,236,Hospet,3,708,Karnataka,2015
1066,91,Product 146,71,Hospet,8,568,Karnataka,2015
1067,91,Product 475,273,Hospet,1,273,Karnataka,2015
1068,91,Product 190,128,Hospet,5,640,Karnataka,2015
1069,91,Product 36,214,Hospet,1,214,Karnataka,2015
1070,91,Product 162,266,Hospet,1,266,Karnataka,2015
1071,92,Product 408,228,Vellore,5,1140,Tamil Nadu,2015
1072,92,Product 182,259,Vellore,8,2072,Tamil Nadu,2015
1073,92,Product 391,234,Vellore,10,2340,Tamil Nadu,2015
1074,92,Product 328,249,Vellore,2,498,Tamil Nadu,2015
1075,92,Product 396,142,Vellore,9,1278,Tamil Nadu,2015
1076,92,Product 357,87,Vellore,4,348,Tamil Nadu,2015
1077,92,Product 270,162,Vellore,6,972,Tamil Nadu,2015
1078,92,Product 81,234,Vellore,7,1638,Tamil Nadu,2015
1079,92,Product 93,174,Vellore,4,696,Tamil Nadu,2015
1080,92,Product 130,238,Vellore,7,1666,Tamil Nadu,2015
1081,93,Product 20,235,Indorw,6,1410,Madhya Pradesh,2015
1082,93,Product 125,65,Indorw,10,650,Madhya Pradesh,2015
1083,93,Product 165,228,Indorw,4,912,Madhya Pradesh,2015
1084,93,Product 381,282,Indorw,8,2256,Madhya Pradesh,2015
1085,93,Product 199,216,Indorw,9,1944,Madhya Pradesh,2015
1086,93,Product 237,66,Indorw,1,66,Madhya Pradesh,2015
1087,93,Product 236,65,Indorw,7,455,Madhya Pradesh,2015
1088,93,Product 357,87,Indorw,2,174,Madhya Pradesh,2015
1089,93,Product 120,171,Indorw,1,171,Madhya Pradesh,2015
1090,93,Product 389,172,Indorw,6,1032,Madhya Pradesh,2015
1091,93,Product 280,73,Indorw,2,146,Madhya Pradesh,2015
1092,93,Product 285,150,Indorw,2,300,Madhya Pradesh,2015
1093,93,Product 485,271,Indorw,8,2168,Madhya Pradesh,2015
1094,93,Product 26,199,Indorw,10,1990,Madhya Pradesh,2015
1095,94,Product 166,79,rajahmundry,8,632,Andhra Pradesh,2015
1096,94,Product 186,126,rajahmundry,7,882,Andhra Pradesh,2015
1097,94,Product 88,145,rajahmundry,2,290,Andhra Pradesh,2015
1098,94,Product 217,68,rajahmundry,10,680,Andhra Pradesh,2015
1099,94,Product 403,249,rajahmundry,10,2490,Andhra Pradesh,2015
1100,94,Product 40,62,rajahmundry,3,186,Andhra Pradesh,2015
1101,94,Product 246,131,rajahmundry,9,1179,Andhra Pradesh,2015
1102,94,Product 68,279,rajahmundry,6,1674,Andhra Pradesh,2015
1103,94,Product 241,164,rajahmundry,4,656,Andhra Pradesh,2015
1104,94,Product 414,130,rajahmundry,2,260,Andhra Pradesh,2015
1105,94,Product 236,65,rajahmundry,3,195,Andhra Pradesh,2015
1106,94,Product 217,68,rajahmundry,7,476,Andhra Pradesh,2015
1107,95,Product 98,66,Nagercoil,2,132,Andhra Pradesh,2015
1108,95,Product 60,121,Nagercoil,4,484,Andhra Pradesh,2015
1109,95,Product 11,94,Nagercoil,6,564,Andhra Pradesh,2015
1110,95,Product 122,176,Nagercoil,9,1584,Andhra Pradesh,2015
1111,95,Product 436,140,Nagercoil,4,560,Andhra Pradesh,2015
1112,95,Product 233,94,Nagercoil,1,94,Andhra Pradesh,2015
1113,95,Product 152,297,Nagercoil,8,2376,Andhra Pradesh,2015
1114,95,Product 345,135,Nagercoil,1,135,Andhra Pradesh,2015
1115,95,Product 489,179,Nagercoil,8,1432,Andhra Pradesh,2015
1116,95,Product 71,181,Nagercoil,2,362,Andhra Pradesh,2015
1117,95,Product 425,62,Nagercoil,1,62,Andhra Pradesh,2015
1118,95,Product 496,194,Nagercoil,4,776,Andhra Pradesh,2015
1119,95,Product 173,123,Nagercoil,7,861,Andhra Pradesh,2015
1120,95,Product 315,263,Nagercoil,9,2367,Andhra Pradesh,2015
1121,96,Product 59,241,Pathanamthitta,8,1928,Andhra Pradesh,2015
1122,96,Product 259,144,Pathanamthitta,7,1008,Andhra Pradesh,2015
1123,96,Product 389,172,Pathanamthitta,9,1548,Andhra Pradesh,2015
1124,96,Product 390,207,Pathanamthitta,4,828,Andhra Pradesh,2015
1125,96,Product 101,98,Pathanamthitta,8,784,Andhra Pradesh,2015
1126,96,Product 109,272,Pathanamthitta,6,1632,Andhra Pradesh,2015
1127,96,Product 200,155,Pathanamthitta,7,1085,Andhra Pradesh,2015
1128,96,Product 389,172,Pathanamthitta,6,1032,Andhra Pradesh,2015
1129,96,Product 29,185,Pathanamthitta,8,1480,Andhra Pradesh,2015
1130,96,Product 437,269,Pathanamthitta,4,1076,Andhra Pradesh,2015
1131,96,Product 34,191,Pathanamthitta,7,1337,Andhra Pradesh,2015
1132,96,Product 36,214,Pathanamthitta,5,1070,Andhra Pradesh,2015
1133,96,Product 124,179,Pathanamthitta,10,1790,Andhra Pradesh,2015
1134,97,Product 490,224,Pondicherry,7,1568,Pondicherry,2015
1135,97,Product 445,214,Pondicherry,5,1070,Pondicherry,2015
1136,97,Product 375,293,Pondicherry,1,293,Pondicherry,2015
1137,97,Product 275,52,Pondicherry,10,520,Pondicherry,2015
1138,97,Product 482,120,Pondicherry,3,360,Pondicherry,2015
1139,97,Product 436,140,Pondicherry,7,980,Pondicherry,2015
1140,97,Product 399,103,Pondicherry,5,515,Pondicherry,2015
1141,97,Product 109,272,Pondicherry,3,816,Pondicherry,2015
1142,97,Product 60,121,Pondicherry,7,847,Pondicherry,2015
1143,97,Product 214,152,Pondicherry,10,1520,Pondicherry,2015
1144,97,Product 267,217,Pondicherry,3,651,Pondicherry,2015
1145,97,Product 93,174,Pondicherry,3,522,Pondicherry,2015
1146,97,Product 415,293,Pondicherry,5,1465,Pondicherry,2015
1147,98,Product 339,273,HANAMKONDA WARANGAL,3,819,Andhra Pradesh,2015
1148,98,Product 470,167,HANAMKONDA WARANGAL,9,1503,Andhra Pradesh,2015
1149,98,Product 182,259,HANAMKONDA WARANGAL,4,1036,Andhra Pradesh,2015
1150,98,Product 2,263,HANAMKONDA WARANGAL,2,526,Andhra Pradesh,2015
1151,98,Product 24,84,HANAMKONDA WARANGAL,4,336,Andhra Pradesh,2015
1152,98,Product 88,145,HANAMKONDA WARANGAL,10,1450,Andhra Pradesh,2015
1153,98,Product 383,188,HANAMKONDA WARANGAL,5,940,Andhra Pradesh,2015
1154,98,Product 42,83,HANAMKONDA WARANGAL,10,830,Andhra Pradesh,2015
1155,98,Product 98,66,HANAMKONDA WARANGAL,6,396,Andhra Pradesh,2015
1156,98,Product 276,84,HANAMKONDA WARANGAL,10,840,Andhra Pradesh,2015
1157,98,Product 354,82,HANAMKONDA WARANGAL,9,738,Andhra Pradesh,2015
1158,98,Product 130,238,HANAMKONDA WARANGAL,1,238,Andhra Pradesh,2015
1159,98,Product 42,83,HANAMKONDA WARANGAL,8,664,Andhra Pradesh,2015
1160,98,Product 485,271,HANAMKONDA WARANGAL,9,2439,Andhra Pradesh,2015
1161,98,Product 470,167,HANAMKONDA WARANGAL,6,1002,Andhra Pradesh,2015
1162,99,Product 219,203,Tamilnadu,1,203,Tamil Nadu,2015
1163,99,Product 248,283,Tamilnadu,5,1415,Tamil Nadu,2015
1164,99,Product 213,71,Tamilnadu,1,71,Tamil Nadu,2015
1165,99,Product 406,149,Tamilnadu,7,1043,Tamil Nadu,2015
1166,99,Product 239,170,Tamilnadu,7,1190,Tamil Nadu,2015
1167,99,Product 245,199,Tamilnadu,8,1592,Tamil Nadu,2015
1168,99,Product 175,280,Tamilnadu,3,840,Tamil Nadu,2015
1169,99,Product 260,190,Tamilnadu,4,760,Tamil Nadu,2015
1170,99,Product 52,295,Tamilnadu,8,2360,Tamil Nadu,2015
1171,99,Product 431,256,Tamilnadu,5,1280,Tamil Nadu,2015
1172,99,Product 234,232,Tamilnadu,3,696,Tamil Nadu,2015
1173,99,Product 341,294,Tamilnadu,9,2646,Tamil Nadu,2015
1174,99,Product 36,214,Tamilnadu,5,1070,Tamil Nadu,2015
1175,100,Product 16,199,hapur,4,796,Uttar Pradesh,2015
1176,100,Product 345,135,hapur,2,270,Uttar Pradesh,2015
1177,100,Product 393,206,hapur,1,206,Uttar Pradesh,2015
1178,100,Product 348,280,hapur,8,2240,Uttar Pradesh,2015
1179,100,Product 486,105,hapur,8,840,Uttar Pradesh,2015
1180,100,Product 164,122,hapur,7,854,Uttar Pradesh,2015
1181,100,Product 344,119,hapur,2,238,Uttar Pradesh,2015
1182,100,Product 146,71,hapur,5,355,Uttar Pradesh,2015
1183,100,Product 236,65,hapur,3,195,Uttar Pradesh,2015
1184,100,Product 462,58,hapur,1,58,Uttar Pradesh,2015
1185,101,Product 237,66,siliguri,4,264,West Bengal,2015
1186,101,Product 182,259,siliguri,9,2331,West Bengal,2015
1187,101,Product 347,75,siliguri,3,225,West Bengal,2015
1188,101,Product 449,157,siliguri,9,1413,West Bengal,2015
1189,101,Product 204,112,siliguri,2,224,West Bengal,2015
1190,101,Product 236,65,siliguri,10,650,West Bengal,2015
1191,101,Product 71,181,siliguri,9,1629,West Bengal,2015
1192,101,Product 474,123,siliguri,7,861,West Bengal,2015
1193,101,Product 336,72,siliguri,10,720,West Bengal,2015
1194,101,Product 325,61,siliguri,4,244,West Bengal,2015
1195,101,Product 471,198,siliguri,4,792,West Bengal,2015
1196,101,Product 173,123,siliguri,3,369,West Bengal,2015
1197,101,Product 414,130,siliguri,7,910,West Bengal,2015
1198,102,Product 293,165,Faridabad,4,660,Haryana,2015
1199,102,Product 115,280,Faridabad,6,1680,Haryana,2015
1200,102,Product 5,95,Faridabad,2,190,Haryana,2015
1201,102,Product 484,50,Faridabad,1,50,Haryana,2015
1202,102,Product 162,266,Faridabad,9,2394,Haryana,2015
1203,102,Product 364,65,Faridabad,10,650,Haryana,2015
1204,102,Product 293,165,Faridabad,1,165,Haryana,2015
1205,102,Product 485,271,Faridabad,1,271,Haryana,2015
1206,102,Product 446,97,Faridabad,9,873,Haryana,2015
1207,102,Product 423,199,Faridabad,7,1393,Haryana,2015
1208,102,Product 70,90,Faridabad,7,630,Haryana,2015
1209,102,Product 99,125,Faridabad,7,875,Haryana,2015
1210,102,Product 36,214,Faridabad,8,1712,Haryana,2015
1211,102,Product 375,293,Faridabad,9,2637,Haryana,2015
1212,103,Product 407,252,KHARAGPUR,2,504,West Bengal,2015
1213,103,Product 129,65,KHARAGPUR,5,325,West Bengal,2015
1214,103,Product 384,154,KHARAGPUR,9,1386,West Bengal,2015
1215,103,Product 153,183,KHARAGPUR,7,1281,West Bengal,2015
1216,103,Product 16,199,KHARAGPUR,5,995,West Bengal,2015
1217,103,Product 22,86,KHARAGPUR,10,860,West Bengal,2015
1218,103,Product 135,214,KHARAGPUR,5,1070,West Bengal,2015
1219,103,Product 166,79,KHARAGPUR,3,237,West Bengal,2015
1220,103,Product 381,282,KHARAGPUR,8,2256,West Bengal,2015
1221,103,Product 199,216,KHARAGPUR,8,1728,West Bengal,2015
1222,103,Product 6,237,KHARAGPUR,2,474,West Bengal,2015
1223,103,Product 93,174,KHARAGPUR,8,1392,West Bengal,2015
1224,103,Product 387,273,KHARAGPUR,3,819,West Bengal,2015
1225,104,Product 28,76,guwahati,9,684,Assam,2015
1226,104,Product 172,289,guwahati,4,1156,Assam,2015
1227,104,Product 367,103,guwahati,4,412,Assam,2015
1228,104,Product 30,204,guwahati,9,1836,Assam,2015
1229,104,Product 386,127,guwahati,2,254,Assam,2015
1230,104,Product 359,154,guwahati,5,770,Assam,2015
1231,104,Product 317,178,guwahati,4,712,Assam,2015
1232,104,Product 219,203,guwahati,9,1827,Assam,2015
1233,104,Product 216,242,guwahati,1,242,Assam,2015
1234,104,Product 275,52,guwahati,5,260,Assam,2015
1235,104,Product 34,191,guwahati,4,764,Assam,2015
1236,104,Product 485,271,guwahati,9,2439,Assam,2015
1237,104,Product 157,244,guwahati,4,976,Assam,2015
1238,105,Product 284,75,Karaikal,8,600,Pondicherry,2015
1239,105,Product 94,284,Karaikal,8,2272,Pondicherry,2015
1240,105,Product 93,174,Karaikal,1,174,Pondicherry,2015
1241,105,Product 467,211,Karaikal,3,633,Pondicherry,2015
1242,105,Product 129,65,Karaikal,9,585,Pondicherry,2015
1243,105,Product 103,76,Karaikal,3,228,Pondicherry,2015
1244,105,Product 221,121,Karaikal,4,484,Pondicherry,2015
1245,105,Product 238,153,Karaikal,2,306,Pondicherry,2015
1246,105,Product 463,118,Karaikal,8,944,Pondicherry,2015
1247,105,Product 309,195,Karaikal,1,195,Pondicherry,2015
1248,105,Product 256,260,Karaikal,3,780,Pondicherry,2015
1249,105,Product 7,147,Karaikal,10,1470,Pondicherry,2015
1250,105,Product 236,65,Karaikal,6,390,Pondicherry,2015
1251,105,Product 284,75,Karaikal,3,225,Pondicherry,2015
1252,106,Product 97,94,kalyan,10,940,Maharashtra,2015
1253,106,Product 249,135,kalyan,8,1080,Maharashtra,2015
1254,106,Product 463,118,kalyan,7,826,Maharashtra,2015
1255,106,Product 322,123,kalyan,2,246,Maharashtra,2015
1256,106,Product 288,252,kalyan,5,1260,Maharashtra,2015
1257,106,Product 456,173,kalyan,10,1730,Maharashtra,2015
1258,106,Product 9,299,kalyan,6,1794,Maharashtra,2015
1259,106,Product 420,131,kalyan,1,131,Maharashtra,2015
1260,106,Product 254,57,kalyan,8,456,Maharashtra,2015
1261,106,Product 54,201,kalyan,7,1407,Maharashtra,2015
1262,106,Product 467,211,kalyan,1,211,Maharashtra,2015
1263,106,Product 453,143,kalyan,9,1287,Maharashtra,2015
1264,106,Product 253,98,kalyan,9,882,Maharashtra,2015
1265,106,Product 173,123,kalyan,6,738,Maharashtra,2015
1266,106,Product 179,270,kalyan,8,2160,Maharashtra,2015
1267,107,Product 321,282,bharuch,7,1974,Gujarat,2015
1268,107,Product 290,73,bharuch,6,438,Gujarat,2015
1269,107,Product 238,153,bharuch,2,306,Gujarat,2015
1270,107,Product 208,159,bharuch,4,636,Gujarat,2015
1271,107,Product 261,121,bharuch,1,121,Gujarat,2015
1272,107,Product 81,234,bharuch,6,1404,Gujarat,2015
1273,107,Product 65,191,bharuch,4,764,Gujarat,2015
1274,107,Product 131,85,bharuch,4,340,Gujarat,2015
1275,107,Product 337,126,bharuch,5,630,Gujarat,2015
1276,107,Product 444,185,bharuch,1,185,Gujarat,2015
1277,107,Product 36,214,bharuch,8,1712,Gujarat,2015
1278,107,Product 383,188,bharuch,1,188,Gujarat,2015
1279,108,Product 2,263,Varanasi,10,2630,Uttar Pradesh,2015
1280,108,Product 196,215,Varanasi,6,1290,Uttar Pradesh,2015
1281,108,Product 32,192,Varanasi,8,1536,Uttar Pradesh,2015
1282,108,Product 344,119,Varanasi,3,357,Uttar Pradesh,2015
1283,108,Product 309,195,Varanasi,6,1170,Uttar Pradesh,2015
1284,108,Product 405,226,Varanasi,4,904,Uttar Pradesh,2015
1285,108,Product 226,213,Varanasi,4,852,Uttar Pradesh,2015
1286,108,Product 12,68,Varanasi,1,68,Uttar Pradesh,2015
1287,108,Product 411,233,Varanasi,4,932,Uttar Pradesh,2015
1288,108,Product 203,289,Varanasi,10,2890,Uttar Pradesh,2015
1289,108,Product 431,256,Varanasi,8,2048,Uttar Pradesh,2015
1290,108,Product 377,119,Varanasi,9,1071,Uttar Pradesh,2015
1291,108,Product 303,220,Varanasi,2,440,Uttar Pradesh,2015
1292,108,Product 93,174,Varanasi,4,696,Uttar Pradesh,2015
1293,108,Product 202,299,Varanasi,2,598,Uttar Pradesh,2015
1294,109,Product 245,199,thottiam,10,1990,Tamil Nadu,2015
1295,109,Product 328,249,thottiam,6,1494,Tamil Nadu,2015
1296,109,Product 41,192,thottiam,1,192,Tamil Nadu,2015
1297,109,Product 89,206,thottiam,2,412,Tamil Nadu,2015
1298,109,Product 266,224,thottiam,3,672,Tamil Nadu,2015
1299,109,Product 311,84,thottiam,6,504,Tamil Nadu,2015
1300,109,Product 395,179,thottiam,3,537,Tamil Nadu,2015
1301,109,Product 485,271,thottiam,10,2710,Tamil Nadu,2015
1302,109,Product 93,174,thottiam,4,696,Tamil Nadu,2015
1303,110,Product 367,103,Tiruvanatapuram,8,824,Kerela,2015
1304,110,Product 296,218,Tiruvanatapuram,8,1744,Kerela,2015
1305,110,Product 391,234,Tiruvanatapuram,6,1404,Kerela,2015
1306,110,Product 449,157,Tiruvanatapuram,10,1570,Kerela,2015
1307,110,Product 230,265,Tiruvanatapuram,4,1060,Kerela,2015
1308,110,Product 117,52,Tiruvanatapuram,4,208,Kerela,2015
1309,110,Product 238,153,Tiruvanatapuram,6,918,Kerela,2015
1310,110,Product 341,294,Tiruvanatapuram,2,588,Kerela,2015
1311,110,Product 101,98,Tiruvanatapuram,3,294,Kerela,2015
1312,111,Product 108,129,Ernakulam,5,645,Kerela,2015
1313,111,Product 212,259,Ernakulam,1,259,Kerela,2015
1314,111,Product 144,99,Ernakulam,1,99,Kerela,2015
1315,111,Product 429,266,Ernakulam,1,266,Kerela,2015
1316,111,Product 323,189,Ernakulam,6,1134,Kerela,2015
1317,111,Product 15,137,Ernakulam,4,548,Kerela,2015
1318,111,Product 459,106,Ernakulam,4,424,Kerela,2015
1319,111,Product 138,258,Ernakulam,8,2064,Kerela,2015
1320,111,Product 48,214,Ernakulam,1,214,Kerela,2015
1321,111,Product 475,273,Ernakulam,10,2730,Kerela,2015
1322,111,Product 218,192,Ernakulam,8,1536,Kerela,2015
1323,111,Product 258,90,Ernakulam,5,450,Kerela,2015
1324,111,Product 236,65,Ernakulam,10,650,Kerela,2015
1325,111,Product 363,266,Ernakulam,8,2128,Kerela,2015
1326,112,Product 276,84,Cochin,4,336,Kerela,2015
1327,112,Product 181,180,Cochin,7,1260,Kerela,2015
1328,112,Product 500,251,Cochin,3,753,Kerela,2015
1329,112,Product 242,206,Cochin,2,412,Kerela,2015
1330,112,Product 173,123,Cochin,9,1107,Kerela,2015
1331,112,Product 80,245,Cochin,6,1470,Kerela,2015
1332,113,Product 164,122,Pimpri-Chinchwad,7,854,Maharashtra,2015
1333,113,Product 382,103,Pimpri-Chinchwad,9,927,Maharashtra,2015
1334,113,Product 351,261,Pimpri-Chinchwad,9,2349,Maharashtra,2015
1335,113,Product 367,103,Pimpri-Chinchwad,2,206,Maharashtra,2015
1336,113,Product 261,121,Pimpri-Chinchwad,3,363,Maharashtra,2015
1337,113,Product 162,266,Pimpri-Chinchwad,10,2660,Maharashtra,2015
1338,113,Product 130,238,Pimpri-Chinchwad,8,1904,Maharashtra,2015
1339,113,Product 26,199,Pimpri-Chinchwad,3,597,Maharashtra,2015
1340,113,Product 217,68,Pimpri-Chinchwad,5,340,Maharashtra,2015
1341,113,Product 315,263,Pimpri-Chinchwad,8,2104,Maharashtra,2015
1342,113,Product 124,179,Pimpri-Chinchwad,7,1253,Maharashtra,2015
1343,113,Product 415,293,Pimpri-Chinchwad,4,1172,Maharashtra,2015
1344,113,Product 470,167,Pimpri-Chinchwad,2,334,Maharashtra,2015
1345,113,Product 36,214,Pimpri-Chinchwad,8,1712,Maharashtra,2015
1346,113,Product 273,205,Pimpri-Chinchwad,10,2050,Maharashtra,2015
1347,114,Product 462,58,bareilly,7,406,Uttar Pradesh,2015
1348,114,Product 414,130,bareilly,1,130,Uttar Pradesh,2015
1349,114,Product 375,293,bareilly,3,879,Uttar Pradesh,2015
1350,114,Product 387,273,bareilly,7,1911,Uttar Pradesh,2015
1351,114,Product 157,244,bareilly,2,488,Uttar Pradesh,2015
1352,114,Product 284,75,bareilly,7,525,Uttar Pradesh,2015
1353,114,Product 179,270,bareilly,5,1350,Uttar Pradesh,2015
1354,114,Product 383,188,bareilly,1,188,Uttar Pradesh,2015
1355,114,Product 202,299,bareilly,3,897,Uttar Pradesh,2015
1356,114,Product 93,174,bareilly,8,1392,Uttar Pradesh,2015
1357,114,Product 421,104,bareilly,3,312,Uttar Pradesh,2015
1358,115,Product 101,98,Solan,3,294,Himachal Pradesh,2015
1359,115,Product 363,266,Solan,10,2660,Himachal Pradesh,2015
1360,115,Product 80,245,Solan,8,1960,Himachal Pradesh,2015
1361,115,Product 273,205,Solan,1,205,Himachal Pradesh,2015
1362,115,Product 421,104,Solan,10,1040,Himachal Pradesh,2015
1363,115,Product 471,198,Solan,6,1188,Himachal Pradesh,2015
1364,115,Product 216,242,Solan,5,1210,Himachal Pradesh,2015
1365,115,Product 485,271,Solan,2,542,Himachal Pradesh,2015
1366,115,Product 471,198,Solan,2,396,Himachal Pradesh,2015
1367,116,Product 34,191,navsari,6,1146,Maharashtra,2015
1368,116,Product 261,121,navsari,2,242,Maharashtra,2015
1369,116,Product 346,269,navsari,10,2690,Maharashtra,2015
1370,116,Product 89,206,navsari,1,206,Maharashtra,2015
1371,116,Product 133,276,navsari,6,1656,Maharashtra,2015
1372,116,Product 146,71,navsari,4,284,Maharashtra,2015
1373,116,Product 375,293,navsari,4,1172,Maharashtra,2015
1374,116,Product 323,189,navsari,2,378,Maharashtra,2015
1375,116,Product 493,137,navsari,1,137,Maharashtra,2015
1376,116,Product 206,85,navsari,8,680,Maharashtra,2015
1377,116,Product 236,65,navsari,3,195,Maharashtra,2015
1378,116,Product 216,242,navsari,8,1936,Maharashtra,2015
1379,117,Product 129,65,South Delhi,10,650,New Delhi,2015
1380,117,Product 437,269,South Delhi,2,538,New Delhi,2015
1381,117,Product 175,280,South Delhi,7,1960,New Delhi,2015
1382,117,Product 10,142,South Delhi,5,710,New Delhi,2015
1383,117,Product 146,71,South Delhi,2,142,New Delhi,2015
1384,117,Product 154,145,South Delhi,5,725,New Delhi,2015
1385,117,Product 481,140,South Delhi,3,420,New Delhi,2015
